Image URL,Title,Article URL,Content,Date,Comments,Read Time,number_of_birders,number_of_observations,number_of_lists,number_of_species,number_of_unique_lists_with_media,names_of_birders,winner_name,how_was_winner_chosen,location_of_challenge,checklist_requirements,extra_condition,tips_or_important_points,bird_species_mentioned
https://birdcount.in/wp-content/uploads/2025/05/Violet-Cuckoo-by-Anand-Ramesh-870x580.jpeg,June 2025 eBirding Challenge,https://birdcount.in/jun25-challenge/,"Get Ready for Cuckoo Season! Upload 25 checklists, with at least five of them containing a brood-parasitic cuckoo.","May 31, 2025",0 Comments,2 min read,,,,,,,,,India,"Eligible checklists are those that report ALL species seen/heard (and are therefore marked ‘complete’), includes counts for all species numbers (no ‘X’ entries) and are of at least 15 minutes or longer in duration.","Upload 25 eligible checklists, with at least five of them containing a brood-parasitic cuckoo.","[""Add sounds to your checklists"", ""Add photos to your checklists"", ""Add behavioural comments to your checklists"", ""Maintain a suitable distance from the birds."", ""Avoid playback of bird calls."", ""Be mindful of sensitive habitats, especially areas where birds are likely to nest."", ""If you feel your observations may attract unwanted attention and disturb nesting birds, consider delaying the upload of your comments or photographs by a few weeks.""]","[""Himalayan Cuckoo"", ""Common Hawk-Cuckoo"", ""Violet Cuckoo""]"
https://birdcount.in/wp-content/uploads/2025/05/Rufous-winged-Fulvetta-by-Manjula-Desai-870x580.jpeg,April 2025 eBirders of the Month,https://birdcount.in/apr2025-ebirders/,Congratulations to the 39 eBirders who met the April 2025 eBird challenge. Special congratulations to Neeraja V for winning this challenge!,"May 29, 2025",0 Comments,2 min read,6075,893000,54400,1109,5633,"[""Ains Priestman"", ""Ajay Sarvagnam"", ""Amrit Raha"", ""Anand Birdlife"", ""Anand Singh"", ""Anish Bera"", ""Anurupa Shil"", ""Aravind AM"", ""Arun Singh"", ""Ashit Parida"", ""Ashraf Anuar Zaini"", ""Asim Giri"", ""Ayaan S"", ""Baharuddin Sk"", ""Bharatendra Singh Parihar"", ""Bhaskar Mandal & Lakshmi Chatterjee"", ""Biplab Banerjee"", ""Brian Elliott"", ""Chandu A"", ""Chirag Munje"", ""Christian Engel"", ""Dhruva Punde"", ""Dipankar Dev"", ""Dr Bipasha David"", ""Dr Mohammed Umer Sharieff"", ""Gaja Mohanraj"", ""Garima Bhatia"", ""Gopi Raji"", ""H Nambiar"", ""Hariharan T V"", ""Jayadev Menon"", ""Kedar Champhekar"", ""Kilson Kiragori"", ""Kit Britten"", ""Krishnamoorthy Muthirulan"", ""Lakshmikant Neve"", ""Madhavi Babtiwale"", ""Maggie Geer"", ""Mahendra Hegde"", ""Mahmadanesh Khira"", ""Manjunath Prabhu"", ""Munish Gowda"", ""Neeraja V"", ""Om Raut"", ""Padma Gyalpo"", ""Parmil Kumar"", ""Parthasarathi Chakrabarti"", ""Prabhudatta Bal"", ""Pranad Patil"", ""Pulakeswar Basumatary"", ""Rahul Wakare"", ""Rajesh Radhakrishnan"", ""Ramesh Shenai"", ""Ranjeet Chitrakar"", ""Ranjeet Singh"", ""Regin Ross"", ""Rejaul Karim"", ""Sahana M"", ""Saikat Das"", ""Sandip Das"", ""Sanjiv Khanna"", ""Satya Sidharth Das"", ""Shamika Mahamuni"", ""Sharad Apte"", ""Shashikiran Ganesh"", ""Shilpa Gadgil"", ""Shubham Giri"", ""Shuvendu Das"", ""Soubhagya Mohanty"", ""Sourav Mandal"", ""Sreekumar Chirukandoth"", ""Subha N"", ""Suman Biswas"", ""Sumanth Kerur"", ""Trivedi Gvn"", ""Tuk Tuk"", ""Uma Vaijnath"", ""Vaibhav Patil"", ""Vijaya Lakshmi"", ""Vikrant Prabhulkar"", ""Vivek Kumar Patel"", ""Vivek Sudhakaran""]",Neeraja V,drawn using a computer-generated random number,India,"upload a minimum of 20 checklists, with audio (rated) of at least 5 species",,"[""The above list does not include group accounts and those with no identifiable names."", ""Are you up to date with the eBird India challenge for May?"", ""Also, see here for the fresh set of yearlong challenges for 2025!""]","[""Rufous-winged Fulvetta""]"
https://birdcount.in/wp-content/uploads/2025/04/Golden-headed-Cisticola-_ML622468972-870x633.jpeg,May 2025 eBirding Challenge,https://birdcount.in/may25-challenge/,Complete the challenge by uploading at least 20 eligible checklists from the same location!,"Apr 30, 2025",1 Comment,2 min read,,,,,,,,,India,"report ALL species seen/heard (and are therefore marked ‘complete’), includes counts for all species numbers (no ‘X’ entries) and are of at least 15 minutes or longer in duration",upload at least 20 or more eligible checklists from the same location during May,"[""Choose a location that’s easily accessible to you, like your backyard, a local park, or a nearby lake"", ""Visit at different times of day to observe different bird behaviors and species"", ""Keep detailed notes on recurring individuals, behaviors, and interactions"", ""Look for nesting activities and breeding behaviors that may be easier to spot with repeated visits"", ""Maintain a respectful distance from nesting birds to avoid disturbing them during this sensitive breeding period.""]","[""Golden-headed Cisticola"", ""Bright-headed Cisticola""]"
https://birdcount.in/wp-content/uploads/2025/04/Brown-headed-Gull-y-Nimitha-R-870x673.jpeg,March 2025 eBirders of the Month,https://birdcount.in/mar2025-ebirders/,Congratulations to the 255 eBirders who met the March 2025 eBird challenge. Special congratulations to Sudheesh Thattekkadu for winning this challenge!,"Apr 21, 2025",0 Comments,4 min read,7324,1252000,72942,1119,7135,"[""Abhay Sawant"", ""Abhishek Karak"", ""Adil Ali"", ""Adithya Bhat"", ""Aditi Prasad"", ""Afsar Nayakkan"", ""Akshit Dua"", ""Aldrich Franklin"", ""Amarjeetsingh Bishnoi"", ""Amrit Raha"", ""Amsa Am"", ""Anand Birdlife"", ""Anand Bora"", ""Anand Singh"", ""Angeline Mano M"", ""Anindita Mukherji"", ""Anish Bera"", ""Anishka Badonia"", ""Anon Ray"", ""Anu Parthasarathy"", ""Aravind Am"", ""Aravind Amirtharaj"", ""Arpit Deomurari"", ""Arun Singh"", ""Arunava Dutta"", ""Ashit Parida"", ""Ashok Agarwal"", ""Avinash Bhagat"", ""Avishkar Munje"", ""Ayan Banerjee"", ""Ayush P Nair"", ""Baharuddin Sk"", ""Bharatendra Singh Parihar"", ""Bijoy Venugopal"", ""Bonyabondhu Kamrup"", ""C P Sethumadhavan"", ""Chaiti Banerjee"", ""Chandramouli Ganguly"", ""Cheran Jagadeesan"", ""Cheryl Huizinga"", ""Chirag Munje"", ""Chirag Parmar"", ""Chonseng Sangma"", ""Chris Mills"", ""Christopher Lawlor"", ""Daniel Branch"", ""Darshan Bisen"", ""Deidre Asbjorn"", ""Dhaval Vargiya"", ""Dhruba Saikia"", ""Dibyendu Paul"", ""Dipankar Dev"", ""Dipankar Ghose"", ""Dipu Karuthedathu"", ""Divyaraj Shah"", ""Dombe Pradhan"", ""Dorjee Bachung"", ""Dr Bipasha David"", ""Dr Mita Gala"", ""Dr Mohammed Umer Sharieff"", ""Dr Sudhir Gaikwad"", ""Dries Van De Loock"", ""Dusan Kerestur"", ""Elavarasan M"", ""Elizabeth Ferber"", ""Faisal Fasaludeen"", ""Fermin Jose"", ""Francis D’Souza"", ""Fulchand Shiv"", ""Gagan Bedi"", ""Gaja Mohanraj"", ""Gajendra Singh"", ""Gareth Hughes"", ""Garvita Garg"", ""Gaurav Sinha"", ""Gayathri Mukunda"", ""Ghani Singh"", ""Glenn Steinke"", ""Gokuldeepak Mc"", ""Gopi Raji"", ""Govind Girija"", ""Gowri Shankar S"", ""Grant Brosie"", ""H Nambiar"", ""Hakimuddin F Saify"", ""Hans Matheve"", ""Hareendra Baraiya"", ""Hareesha As"", ""Henry Burton"", ""Howard Laidlaw"", ""Irshad Theba"", ""Irvin Calicut"", ""Jagdish Jatiya"", ""Jageshwer Verma"", ""Jayadev Menon"", ""Jaydev Mandal"", ""Jayu Munje"", ""Jiju Vinod"", ""Joe M Raja"", ""Joe Rz Thanga"", ""Joel Rodrigues"", ""Jugal Borah"", ""Kanan Bishnoi"", ""Karthik Teegalapalli"", ""Karthikeyan R"", ""Kaustubh Rau"", ""Kedar Champhekar"", ""Ken Oeser"", ""Kilson Kiragori"", ""Kirti Kanta Sethy"", ""Krishnakumar. K. K"", ""Krishnamoorthy Muthirulan"", ""Krishnendu Das"", ""Ksheetij Pandey"", ""Kuldip Topo"", ""Kunan Naik"", ""Lakshmikant Neve"", ""Lathika K K"", ""Lathika Anoth"", ""Leio De Souza"", ""Magnus Persmark"", ""Mahendra Hegde"", ""Mahesh Rathod"", ""Manan Mahadev"", ""Manash Pratim"", ""Manju Sinha"", ""Margot Ramos"", ""Martin Rheinheimer"", ""Mayuri Jani"", ""Meha Jain"", ""Michael Honeyman"", ""Milan Sojitra"", ""Miloslav"", ""Mohanan Choron"", ""Moovendan Ramalingam"", ""Mukta Rajwade"", ""Munish Gowda"", ""Murari Varma"", ""Muskan Shrivastava"", ""Narendran M.M"", ""Naushad Theba"", ""Navaneeth Sini George"", ""Nicholas Iyadurai"", ""Nikhil Chandwadkar"", ""Nirmala Jatiya"", ""Om Raut"", ""Omkar Dharwadkar"", ""Padma Gyalpo"", ""Pampa Mistri"", ""Panchapakesan Jeganathan"", ""Pankaj Gupta"", ""Parag Kokane"", ""Parag Kumar"", ""Parthasarathi Chakrabarti"", ""Pat Weber"", ""Paul Ashley"", ""Prabhakar Gujjarappa"", ""Prabhudatta Bal"", ""Prabu Ranjit Edison"", ""Pranad Patil"", ""Prasanna Kalita"", ""Praveen J"", ""Prem Swaroop Kolluru"", ""Priyam Chattopadhyay"", ""Prodip Sarder"", ""Rachita Priyadarshini Sahoo"", ""Raghu K"", ""Rahul Wakare"", ""Raja Simma Pandiyan"", ""Rajaraja Abd"", ""Rajashree Joshi"", ""Rajender Kumar"", ""Rajesh Radhakrishnan"", ""Raju Sankaran"", ""Raju Kasambe"", ""Rakesh Dhurwey"", ""Ram Rsnv"", ""Ram Veer"", ""Ram Vikas"", ""Ramesh Shenai"", ""Ramu Alluri"", ""Ramya Singaravelpandian"", ""Ranjeet Chitrakar"", ""Regin Ross"", ""Renju Tr"", ""Reva Duraphe"", ""Ritesh Kaul"", ""Rithwik Sundar"", ""Rofikul Islam"", ""Rohan Van Twest"", ""Rohit Tibrewal"", ""Runap Gogoi"", ""Sabyasachi Jena"", ""Sahana M"", ""Saikat Das"", ""Sakthi Chinnakannu"", ""Samakshi Tiwari"", ""Sambeet Puhan"", ""Samir Nama"", ""Sandhya Lenka"", ""Sandip Das"", ""Santhi K"", ""Saranya R"", ""Satya Sidharth Das"", ""Saurabh Kalia"", ""Sdtr Bird Survey"", ""Seema Tangadpalliwar"", ""Seema Tania"", ""Shailendra Badonia"", ""Shakti Vel"", ""Shakti Bishnoi"", ""Shamika Mahamuni"", ""Sharad Gajbhiye"", ""Sheena S"", ""Shilpa Gadgil"", ""Shivaprakash Adavanne"", ""Shubham Giri"", ""Shuvendu Das"", ""Shveta Jadhav"", ""Shyamkumar Puravankara"", ""Siva T"", ""Sourav Mandal Ðÿª½"", ""Souvick Mukherjee"", ""Souvik Ghosh"", ""Sreekumar Chirukandoth"", ""Srinivas Daripineni"", ""Steffin Babu"", ""Subash Babu"", ""Subramania Siva"", ""Sudhakar S"", ""Sudhanva Jahagirdar"", ""Sudheesh Muraleedharan"", ""Sudheesh Thattekkadu"", ""Sudip Simha"", ""Sumanth Kerur"", ""Sunita Dighe"", ""Swarup Sarkar"", ""Titash Chakrabarti"", ""Toon Spanhove"", ""Tuk Tuk"", ""Uma Vaijnath"", ""Vaazhaikumar Kumar"", ""Vaibhav Patil"", ""Vandana Moon"", ""Vasen Suli"", ""Vidhya Sundar"", ""Vijaya Lakshmi"", ""Vikrant Prabhulkar"", ""Vinod Kumar"", ""Vipin Kumar"", ""Vishnu Ts"", ""Vivek Kumar Patel"", ""Vivek Saggar"", ""Vivekananda K"", ""Vyom Vyas"", ""Yash Gardare""]",Sudheesh Thattekkadu,drawn using a computer-generated random number,India,"upload a minimum of 31 complete checklists, including at least 2 from any waterbody",mention the word ‘wetland’ in the checklist comments,"[""Don’t forget to rate your audio recordings added to your April checklists."", ""see here for the fresh set of yearlong challenges for 2025!""]","[""Brown-headed Gull"", ""Chroicocephalus brunnicephalus""]"
https://birdcount.in/wp-content/uploads/2021/03/White-bellied-Minivet-by-Yann-Muzika-870x579.jpeg,April 2025 eBirding Challenge,https://birdcount.in/apr25-challenge/,"Complete the challenge by uploading 20 eligible checklists, recording at least 5 different species, and submitting 10 rated audio recordings.","Mar 31, 2025",0 Comments,2 min read,,,,,,,,,,,,,
https://birdcount.in/wp-content/uploads/2025/03/Green-Cochoa-by-Ayuwat-Jearwattanakanok-870x622.jpeg,February 2025 eBirders of the Month,https://birdcount.in/feb25-ebirders/,Congratulations to the 429 eBirders who met the Feb 2025 eBird challenge. Special congratulations to Rozan Dhungel for winning this challenge!,"Mar 21, 2025",0 Comments,6 min read,,,,,,,,,,,,,
https://birdcount.in/wp-content/uploads/2025/02/Tickells-Thrush-Turdus-unicolor-Savithri-Singh-870x589.jpg,January 2025 eBirders of the Month,https://birdcount.in/jan25-ebirders/,Congratulations to the 306 eBirders who met the January 2025 eBird challenge for India! Special congratulations to Sunita Dighe for winning this challenge.,"Feb 28, 2025",0 Comments,4 min read,,,,,,,,,,,,,
https://birdcount.in/wp-content/uploads/2025/02/Spotted-Redshank-Tringa-erythropus-Swapnil-Jarad-870x535.jpg,March 2025 eBirding Challenge,https://birdcount.in/mar25-challenge/,"As winter migrants prepare to depart and resident birds begin breeding, March is the perfect time to document these seasonal changes.","Feb 28, 2025",2 Comments,2 min read,,,,,,,,,,,,,
https://birdcount.in/wp-content/uploads/2025/01/Lotens-Sunbird-by-S-S-Suresh-870x580.jpg,February 2025 eBirding Challenge,https://birdcount.in/feb25-challenge/,"Join us for GBBC (14-17 Feb) and together we can make this birding month bigger than ever! Upload 40 complete checklists throughout Feb, with 10 from GBBC days.","Jan 31, 2025",0 Comments,1 min read,,,,,,,,,,,,,
https://birdcount.in/wp-content/uploads/2025/01/Greylag-Goose-by-Shubham-Giri-870x580.jpg,December 2024 eBirders of the Month,https://birdcount.in/dec24-ebirders/,Congratulations to the 226 eBirders who met the December 2024 eBird challenge for India! Special congratulations to Sakthi Chinnakannu for winning this challenge.,"Jan 29, 2025",2 Comments,4 min read,,,,,,,,,,,,,
